epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,151.672,1.74199,3.35129,1.68256,0.53044,0.39301,0.39324,0.1761,1.83436,2.48651,1.73181,0.00332788,0.00332788,0.00332788
2,266.564,1.75223,2.40447,1.65987,0.41454,0.3849,0.32428,0.14229,1.96391,2.40915,1.8709,0.00663923,0.00663923,0.00663923
3,378.785,1.87152,2.35723,1.77305,0.37185,0.28571,0.25135,0.09862,2.07486,2.86019,2.0415,0.00992858,0.00992858,0.00992858
4,492.94,1.96822,2.41817,1.86032,0.47087,0.35122,0.348,0.1358,2.03032,2.30062,1.95578,0.009901,0.009901,0.009901
5,605.927,1.89282,2.25016,1.81216,0.5811,0.40326,0.42849,0.18149,2.02343,2.15887,2.00353,0.009868,0.009868,0.009868
6,718.644,1.84024,2.11065,1.78088,0.70259,0.51875,0.58639,0.28288,1.83229,1.75089,1.80951,0.009835,0.009835,0.009835
7,831.518,1.79812,1.98302,1.7533,0.62975,0.50405,0.53909,0.266,1.78878,1.76783,1.78853,0.009802,0.009802,0.009802
8,944.927,1.76902,1.92621,1.71089,0.66078,0.48242,0.51912,0.25031,1.84487,1.78682,1.88534,0.009769,0.009769,0.009769
9,1057.16,1.72608,1.81819,1.68247,0.75063,0.58765,0.67121,0.34698,1.72287,1.51217,1.70996,0.009736,0.009736,0.009736
10,1167.45,1.70851,1.76436,1.67232,0.78629,0.58758,0.67825,0.35447,1.70646,1.48474,1.69105,0.009703,0.009703,0.009703
11,1278.13,1.69159,1.72268,1.64673,0.73919,0.61175,0.66996,0.34626,1.68667,1.44072,1.66537,0.00967,0.00967,0.00967
12,1388.75,1.65668,1.65518,1.63141,0.78535,0.59825,0.68726,0.35646,1.69488,1.42292,1.67638,0.009637,0.009637,0.009637
13,1498.52,1.64658,1.61519,1.62249,0.79021,0.6791,0.74848,0.3955,1.64507,1.33094,1.65441,0.009604,0.009604,0.009604
14,1608.97,1.63627,1.59473,1.62056,0.82644,0.64754,0.75906,0.40636,1.632,1.27973,1.61665,0.009571,0.009571,0.009571
15,1718.77,1.62254,1.55612,1.60563,0.81732,0.65128,0.74743,0.41099,1.60461,1.29598,1.60082,0.009538,0.009538,0.009538
16,1829.09,1.59512,1.53709,1.57406,0.83233,0.65565,0.75442,0.39786,1.63585,1.27345,1.6174,0.009505,0.009505,0.009505
17,1937.64,1.57713,1.47317,1.56454,0.81499,0.72274,0.80182,0.43919,1.60856,1.17318,1.58324,0.009472,0.009472,0.009472
18,2043.45,1.56448,1.45695,1.54439,0.80764,0.6937,0.77601,0.42531,1.59132,1.19277,1.56904,0.009439,0.009439,0.009439
19,2149.27,1.55669,1.44184,1.54322,0.86756,0.69058,0.79551,0.43938,1.5604,1.14582,1.5445,0.009406,0.009406,0.009406
20,2254.69,1.56106,1.41878,1.54151,0.82516,0.72428,0.81271,0.4499,1.52901,1.1109,1.52194,0.009373,0.009373,0.009373
21,2360.13,1.5407,1.39152,1.52022,0.8607,0.70493,0.80954,0.4542,1.55219,1.09286,1.54966,0.00934,0.00934,0.00934
22,2465.96,1.52022,1.37304,1.50956,0.80928,0.59031,0.6865,0.34997,1.77207,1.42048,1.67594,0.009307,0.009307,0.009307
