epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,97.1345,2.16375,4.54095,1.96304,0.16744,0.1568,0.08102,0.02544,2.41386,4.93857,2.4285,0.000664723,0.000664723,0.000664723
2,184.172,2.4281,3.56873,2.23331,0.11854,0.0144,0.01767,0.00586,2.80131,3.77526,2.72791,0.00131821,0.00131821,0.00131821
3,269.227,2.44514,3.45406,2.35084,0.16777,0.136,0.07804,0.02529,2.51275,3.6607,2.54408,0.00195849,0.00195849,0.00195849
4,353.892,2.34647,3.31153,2.24685,0.17227,0.2288,0.09992,0.03277,2.40089,4.74451,2.37846,0.0019406,0.0019406,0.0019406
5,438.73,2.23536,3.04229,2.14985,0.32915,0.224,0.18605,0.06827,2.20042,3.96372,2.24626,0.0019208,0.0019208,0.0019208
6,522.461,2.18293,2.98097,2.09931,0.29207,0.2304,0.17987,0.06837,2.18173,2.83204,2.12793,0.001901,0.001901,0.001901
7,606.519,2.13266,2.86107,2.06053,0.29057,0.1984,0.16523,0.06379,2.18682,3.07423,2.20726,0.0018812,0.0018812,0.0018812
8,690.804,2.09478,2.71508,1.99849,0.35703,0.2624,0.2392,0.08397,2.12662,2.59916,2.07041,0.0018614,0.0018614,0.0018614
9,775.372,2.04848,2.63588,1.96385,0.38103,0.296,0.25547,0.10446,2.07736,3.08702,2.14576,0.0018416,0.0018416,0.0018416
10,859.351,2.02743,2.55994,1.96203,0.33758,0.2992,0.25509,0.11089,2.0834,2.38918,2.07601,0.0018218,0.0018218,0.0018218
11,943.037,2.00217,2.54151,1.91892,0.45174,0.3888,0.36693,0.1484,2.00863,2.63614,1.9758,0.001802,0.001802,0.001802
12,1027.38,2.00244,2.45915,1.91272,0.53831,0.376,0.41175,0.16964,1.96614,2.08197,2.02897,0.0017822,0.0017822,0.0017822
