epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,205.8,1.72454,3.34251,1.6758,0.5512,0.4459,0.45009,0.20468,1.83778,2.76132,1.73739,0.00332788,0.00332788,0.00332788
2,369.923,1.84425,2.62929,1.76795,0.34429,0.35558,0.24507,0.09334,2.04194,2.99498,1.90636,0.00663923,0.00663923,0.00663923
3,529.713,2.02064,2.65341,1.95731,0.243,0.18902,0.13076,0.04553,2.28107,3.25587,2.41283,0.00992858,0.00992858,0.00992858
4,687.33,2.07797,2.67711,2.04665,0.34558,0.30193,0.24582,0.0874,2.24201,2.63182,2.28412,0.009901,0.009901,0.009901
5,846.116,1.98655,2.47913,1.97783,0.5151,0.40821,0.39742,0.15639,2.00553,2.18005,2.12164,0.009868,0.009868,0.009868
6,1005.73,1.91742,2.3143,1.91902,0.50879,0.43731,0.45019,0.20025,1.97686,2.24482,2.02512,0.009835,0.009835,0.009835
7,1166.12,1.8585,2.17801,1.86798,0.54192,0.44724,0.44393,0.21207,1.85831,1.9774,1.90438,0.009802,0.009802,0.009802
8,1325.7,1.82286,2.08283,1.83701,0.65068,0.5078,0.5619,0.26123,1.82714,1.76478,1.89712,0.009769,0.009769,0.009769
9,1486.64,1.78172,1.97951,1.80536,0.63747,0.50655,0.53996,0.25792,1.79513,1.75743,1.8761,0.009736,0.009736,0.009736
10,1645.15,1.76002,1.92672,1.78644,0.74524,0.5657,0.65473,0.31957,1.76048,1.54513,1.78835,0.009703,0.009703,0.009703
11,1805.81,1.75068,1.86885,1.7663,0.72238,0.60886,0.67336,0.33166,1.73798,1.52701,1.79379,0.00967,0.00967,0.00967
12,1962.68,1.71372,1.79405,1.74319,0.7538,0.59592,0.68462,0.35566,1.6672,1.52373,1.7883,0.009637,0.009637,0.009637
13,2119.98,1.68706,1.76708,1.71777,0.76774,0.64005,0.71815,0.37435,1.68541,1.41984,1.72598,0.009604,0.009604,0.009604
14,2279.17,1.68172,1.74185,1.70848,0.75994,0.628,0.71329,0.3769,1.67003,1.3838,1.74322,0.009571,0.009571,0.009571
15,2439.91,1.6697,1.69735,1.70761,0.76174,0.63381,0.71534,0.37311,1.69699,1.39567,1.73842,0.009538,0.009538,0.009538
16,2597.04,1.65098,1.66063,1.67579,0.8441,0.64174,0.74683,0.38954,1.66265,1.34696,1.70709,0.009505,0.009505,0.009505
17,2756.81,1.62525,1.60623,1.65654,0.83206,0.63671,0.75557,0.41374,1.60281,1.26094,1.63488,0.009472,0.009472,0.009472
18,2915.94,1.61309,1.58651,1.64369,0.80923,0.67748,0.76444,0.41504,1.60748,1.27696,1.67097,0.009439,0.009439,0.009439
19,3074.7,1.60591,1.55801,1.63871,0.8219,0.67249,0.77246,0.41705,1.59416,1.25198,1.65642,0.009406,0.009406,0.009406
20,3231.98,1.61648,1.54219,1.64546,0.81235,0.67244,0.76571,0.42112,1.58521,1.21374,1.65548,0.009373,0.009373,0.009373
21,3392.46,1.5916,1.50133,1.62758,0.83747,0.70618,0.80111,0.44043,1.57793,1.15997,1.64005,0.00934,0.00934,0.00934
22,3562.66,1.5707,1.48108,1.6088,0.83665,0.67748,0.78672,0.44475,1.57535,1.18091,1.62771,0.009307,0.009307,0.009307
23,3731.14,1.57393,1.45044,1.61504,0.8398,0.71292,0.80835,0.44836,1.55438,1.12594,1.6292,0.009274,0.009274,0.009274
24,3893.85,1.55205,1.41411,1.59299,0.87832,0.70555,0.81357,0.46409,1.55162,1.07984,1.59797,0.009241,0.009241,0.009241
25,4057.29,1.54152,1.40625,1.58722,0.86492,0.69904,0.8148,0.45759,1.55479,1.08195,1.6085,0.009208,0.009208,0.009208
26,4221.74,1.54039,1.3992,1.57119,0.85175,0.73362,0.82309,0.47116,1.52879,1.03583,1.58498,0.009175,0.009175,0.009175
27,4383.92,1.53652,1.38698,1.5827,0.859,0.74049,0.82641,0.47933,1.50091,1.02834,1.55525,0.009142,0.009142,0.009142
28,4547.21,1.52286,1.3652,1.5698,0.87785,0.74421,0.84647,0.4925,1.50496,0.98358,1.54959,0.009109,0.009109,0.009109
29,4712.88,1.51442,1.32258,1.5562,0.85874,0.72676,0.8342,0.48297,1.49729,1.01616,1.55258,0.009076,0.009076,0.009076
30,4885.33,1.51945,1.33985,1.55983,0.86533,0.75359,0.83901,0.49201,1.4788,0.98476,1.54268,0.009043,0.009043,0.009043
31,5045.88,1.5021,1.32521,1.55187,0.89406,0.74235,0.84273,0.49705,1.47028,0.96572,1.53352,0.00901,0.00901,0.00901
32,5206.36,1.48149,1.29598,1.52919,0.87741,0.75109,0.85117,0.50809,1.45058,0.94471,1.51647,0.008977,0.008977,0.008977
33,5364.78,1.47924,1.2708,1.52359,0.8806,0.77293,0.86101,0.51436,1.44048,0.93132,1.50776,0.008944,0.008944,0.008944
34,5521.92,1.48286,1.27885,1.52942,0.88701,0.77542,0.86815,0.51817,1.44223,0.91103,1.50143,0.008911,0.008911,0.008911
35,5679.4,1.4834,1.27615,1.52089,0.89194,0.78291,0.87313,0.51876,1.44214,0.90963,1.49536,0.008878,0.008878,0.008878
36,5843.01,1.45628,1.23269,1.5111,0.90106,0.75558,0.86147,0.52159,1.42044,0.9171,1.49499,0.008845,0.008845,0.008845
37,6013.36,1.45419,1.2454,1.51437,0.86535,0.79538,0.87037,0.52829,1.42822,0.90401,1.48768,0.008812,0.008812,0.008812
38,6182.36,1.43508,1.21845,1.49685,0.89829,0.78788,0.87668,0.52694,1.42332,0.85892,1.47741,0.008779,0.008779,0.008779
39,6351.12,1.46634,1.23211,1.50844,0.89569,0.78747,0.87549,0.53339,1.41118,0.8761,1.47297,0.008746,0.008746,0.008746
40,6513.86,1.43405,1.19672,1.49216,0.88022,0.80037,0.87722,0.53709,1.40979,0.85311,1.48421,0.008713,0.008713,0.008713
41,6673.29,1.43848,1.20119,1.49747,0.88068,0.80786,0.87866,0.53897,1.40377,0.83178,1.48066,0.00868,0.00868,0.00868
42,6833.15,1.43856,1.20606,1.49142,0.89505,0.79476,0.87806,0.5408,1.38703,0.84668,1.4551,0.008647,0.008647,0.008647
43,6993.33,1.42843,1.16887,1.47952,0.9012,0.80349,0.8901,0.54266,1.40948,0.83083,1.46289,0.008614,0.008614,0.008614
44,7156.65,1.41868,1.17782,1.47733,0.90685,0.81722,0.89314,0.55115,1.3881,0.81462,1.44758,0.008581,0.008581,0.008581
45,7321.12,1.4154,1.15969,1.47383,0.90787,0.81597,0.89319,0.55122,1.39237,0.7957,1.46116,0.008548,0.008548,0.008548
46,7490.32,1.41436,1.15704,1.48138,0.89896,0.81784,0.89536,0.55923,1.36186,0.79022,1.43885,0.008515,0.008515,0.008515
47,7656.36,1.40852,1.13975,1.46455,0.91338,0.80909,0.89166,0.56124,1.36506,0.79882,1.42503,0.008482,0.008482,0.008482
48,7819.91,1.4181,1.14315,1.47332,0.90593,0.8141,0.89036,0.5565,1.36331,0.79153,1.43644,0.008449,0.008449,0.008449
49,7986.43,1.40181,1.13095,1.45682,0.89294,0.82595,0.89586,0.56254,1.34436,0.77654,1.41615,0.008416,0.008416,0.008416
50,8147,1.38637,1.11949,1.45224,0.91058,0.83905,0.90031,0.56497,1.37317,0.77377,1.43564,0.008383,0.008383,0.008383
51,8309.91,1.402,1.11571,1.4564,0.91103,0.82221,0.90448,0.56954,1.34461,0.7546,1.4146,0.00835,0.00835,0.00835
52,8482.82,1.38602,1.10984,1.44929,0.91018,0.82533,0.90596,0.57581,1.32732,0.75435,1.4068,0.008317,0.008317,0.008317
53,8656.46,1.37601,1.09517,1.44757,0.92163,0.83593,0.91006,0.57866,1.32281,0.7382,1.40196,0.008284,0.008284,0.008284
54,8832.16,1.36022,1.09899,1.44053,0.91336,0.82867,0.90875,0.5842,1.31515,0.7378,1.39679,0.008251,0.008251,0.008251
55,9001.49,1.37466,1.08374,1.44528,0.92027,0.83968,0.91001,0.58272,1.32158,0.72808,1.40435,0.008218,0.008218,0.008218
56,9168.39,1.37707,1.08709,1.44033,0.92979,0.83656,0.91246,0.58698,1.30674,0.72663,1.38934,0.008185,0.008185,0.008185
57,9337.77,1.36612,1.08005,1.42444,0.90396,0.85728,0.91294,0.59303,1.29826,0.71258,1.37462,0.008152,0.008152,0.008152
58,9504.08,1.34859,1.06826,1.4272,0.91968,0.84997,0.92293,0.59354,1.30279,0.71102,1.37709,0.008119,0.008119,0.008119
59,9666.22,1.35934,1.07545,1.4212,0.91619,0.85924,0.92297,0.59496,1.2863,0.70169,1.36541,0.008086,0.008086,0.008086
60,9825.51,1.34838,1.05019,1.41638,0.9104,0.86209,0.92391,0.59726,1.28989,0.6997,1.36518,0.008053,0.008053,0.008053
61,9990.23,1.34879,1.05499,1.41642,0.9206,0.84631,0.92028,0.59763,1.29566,0.69649,1.36827,0.00802,0.00802,0.00802
62,10151.9,1.34982,1.05189,1.41576,0.91859,0.85215,0.92153,0.59836,1.29303,0.67961,1.36865,0.007987,0.007987,0.007987
63,10310.8,1.34929,1.03545,1.40919,0.91606,0.84966,0.923,0.59844,1.28942,0.67977,1.3641,0.007954,0.007954,0.007954
64,10469,1.34337,1.04449,1.41276,0.9215,0.84952,0.92343,0.59928,1.28872,0.68218,1.3641,0.007921,0.007921,0.007921
65,10627.8,1.33723,1.03235,1.40276,0.90889,0.86151,0.92684,0.60372,1.28134,0.67295,1.3538,0.007888,0.007888,0.007888
66,10786.7,1.33794,1.03273,1.40966,0.91921,0.85028,0.92296,0.60461,1.27848,0.67393,1.35512,0.007855,0.007855,0.007855
67,10944,1.31234,1.01258,1.4012,0.92521,0.84887,0.92479,0.60582,1.27539,0.67131,1.35197,0.007822,0.007822,0.007822
68,11103.8,1.32535,1.01769,1.39893,0.92236,0.85964,0.92828,0.60939,1.27992,0.65904,1.35497,0.007789,0.007789,0.007789
69,11262.3,1.31796,1.01169,1.39661,0.93007,0.86089,0.92793,0.60954,1.27214,0.65539,1.35276,0.007756,0.007756,0.007756
70,11420.4,1.31171,0.99571,1.39353,0.9255,0.86588,0.92859,0.61061,1.26385,0.65375,1.34621,0.007723,0.007723,0.007723
71,11578.5,1.31637,1.0082,1.3956,0.91963,0.87081,0.93126,0.61321,1.26312,0.65051,1.34471,0.00769,0.00769,0.00769
72,11737.7,1.30805,0.99712,1.39825,0.92987,0.86021,0.93246,0.61643,1.25429,0.64832,1.33849,0.007657,0.007657,0.007657
73,11895.9,1.30599,0.98939,1.38674,0.92924,0.86213,0.93281,0.61696,1.25667,0.64777,1.3402,0.007624,0.007624,0.007624
74,12054.5,1.30266,0.99543,1.38654,0.93786,0.86837,0.93917,0.62002,1.25092,0.63859,1.3393,0.007591,0.007591,0.007591
75,12213.3,1.29576,0.98194,1.38122,0.93696,0.86213,0.93699,0.61996,1.25279,0.63217,1.34035,0.007558,0.007558,0.007558
76,12372,1.29824,0.9781,1.37726,0.91735,0.87246,0.9362,0.61967,1.25141,0.62658,1.34087,0.007525,0.007525,0.007525
77,12530.2,1.29586,0.96933,1.37962,0.93425,0.85988,0.93425,0.62037,1.24885,0.62587,1.34031,0.007492,0.007492,0.007492
78,12687.5,1.29215,0.97639,1.36916,0.93503,0.86194,0.93431,0.62075,1.24437,0.62587,1.33346,0.007459,0.007459,0.007459
79,12846,1.2818,0.95927,1.36529,0.92808,0.86935,0.9339,0.62303,1.23909,0.62087,1.32789,0.007426,0.007426,0.007426
80,13011.2,1.28209,0.9505,1.36311,0.93554,0.87399,0.93622,0.62579,1.23891,0.61582,1.32829,0.007393,0.007393,0.007393
81,13178,1.27717,0.94686,1.35035,0.93621,0.87149,0.93452,0.62375,1.23937,0.61296,1.32694,0.00736,0.00736,0.00736
82,13336.5,1.28759,0.9558,1.36266,0.93217,0.87336,0.9354,0.62625,1.24012,0.61175,1.32473,0.007327,0.007327,0.007327
83,13495,1.28469,0.95709,1.36156,0.93677,0.87523,0.93841,0.62759,1.23524,0.61119,1.32313,0.007294,0.007294,0.007294
84,13657.8,1.26316,0.94544,1.36431,0.94216,0.87385,0.93711,0.62786,1.23376,0.6079,1.32264,0.007261,0.007261,0.007261
85,13831.6,1.25843,0.93086,1.34889,0.93959,0.8821,0.93943,0.62906,1.23284,0.60439,1.3217,0.007228,0.007228,0.007228
86,14042.3,1.28465,0.95326,1.36215,0.94015,0.87773,0.9388,0.62997,1.23295,0.60274,1.32134,0.007195,0.007195,0.007195
87,14249.1,1.26579,0.94006,1.35064,0.93967,0.88022,0.93925,0.62854,1.23194,0.60128,1.3197,0.007162,0.007162,0.007162
88,14458.3,1.26278,0.92155,1.34215,0.94136,0.88022,0.93935,0.62917,1.23035,0.59818,1.32031,0.007129,0.007129,0.007129
89,14668.6,1.27853,0.92942,1.3665,0.94135,0.88147,0.93914,0.6299,1.23118,0.59511,1.32139,0.007096,0.007096,0.007096
90,14874.6,1.25089,0.91909,1.34253,0.94066,0.88007,0.94157,0.63179,1.22998,0.59287,1.32147,0.007063,0.007063,0.007063
91,15082.6,1.26471,0.92018,1.35323,0.92928,0.8821,0.94106,0.63238,1.22872,0.59302,1.32087,0.00703,0.00703,0.00703
92,15289.7,1.25245,0.91869,1.34175,0.93679,0.88334,0.9424,0.63337,1.22699,0.59089,1.31876,0.006997,0.006997,0.006997
93,15495.4,1.23497,0.90375,1.33215,0.93056,0.88619,0.94327,0.63282,1.22575,0.58924,1.3161,0.006964,0.006964,0.006964
94,15701.3,1.24925,0.9119,1.34068,0.9264,0.88726,0.9419,0.63412,1.22371,0.58824,1.31397,0.006931,0.006931,0.006931
95,15907,1.24077,0.90144,1.33134,0.92599,0.89145,0.9429,0.63465,1.22206,0.58699,1.31266,0.006898,0.006898,0.006898
96,16113,1.23853,0.89799,1.33058,0.93583,0.88334,0.94353,0.63508,1.22242,0.58557,1.31327,0.006865,0.006865,0.006865
97,16320.6,1.24123,0.90417,1.33722,0.93533,0.88415,0.94423,0.63488,1.22211,0.58275,1.3133,0.006832,0.006832,0.006832
98,16528.4,1.22131,0.8894,1.32404,0.93665,0.88709,0.94481,0.63511,1.22248,0.58168,1.31341,0.006799,0.006799,0.006799
99,16736.8,1.23494,0.90571,1.34052,0.92996,0.89455,0.94779,0.63576,1.22259,0.58063,1.31428,0.006766,0.006766,0.006766
100,16944.4,1.22723,0.89138,1.32583,0.92889,0.89636,0.94803,0.63716,1.22214,0.58059,1.31335,0.006733,0.006733,0.006733
101,17149.7,1.21612,0.8946,1.31666,0.92997,0.89457,0.94993,0.63855,1.2211,0.57976,1.31139,0.0067,0.0067,0.0067
102,17355.7,1.21198,0.88039,1.31185,0.93113,0.89582,0.94934,0.638,1.21993,0.57867,1.31,0.006667,0.006667,0.006667
103,17562.9,1.21759,0.87188,1.31901,0.92992,0.89707,0.94978,0.63802,1.2192,0.57751,1.30904,0.006634,0.006634,0.006634
104,17769.5,1.21738,0.8768,1.31679,0.92982,0.89769,0.94953,0.63881,1.21866,0.57714,1.30819,0.006601,0.006601,0.006601
105,17976.9,1.2087,0.87975,1.31509,0.93386,0.89848,0.95028,0.63927,1.21791,0.57541,1.30773,0.006568,0.006568,0.006568
106,18183.9,1.20578,0.85668,1.30995,0.93571,0.89707,0.94846,0.63806,1.21606,0.57442,1.30658,0.006535,0.006535,0.006535
107,18391.2,1.21405,0.86517,1.30704,0.93622,0.89894,0.94816,0.63967,1.21506,0.57333,1.30616,0.006502,0.006502,0.006502
