epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,78.4117,2.03898,4.33816,1.8288,0.24462,0.1712,0.10593,0.03152,2.36441,4.11284,2.21381,0.000664723,0.000664723,0.000664723
2,147.36,2.25475,3.27762,2.03116,0.19469,0.0944,0.06329,0.02172,2.58528,3.9132,2.54497,0.00131821,0.00131821,0.00131821
3,214.229,2.27333,3.11042,2.11861,0.31859,0.1856,0.15304,0.05302,2.44255,3.18979,2.36908,0.00195849,0.00195849,0.00195849
4,273.081,2.21152,3.02283,2.0822,0.3442,0.1936,0.1645,0.06398,2.2424,2.95479,2.20362,0.0019406,0.0019406,0.0019406
5,333.964,2.1323,2.781,1.97639,0.44108,0.2672,0.25873,0.09605,2.12895,2.72609,2.10686,0.0019208,0.0019208,0.0019208
6,395.712,2.08724,2.68861,1.9408,0.47484,0.2608,0.29538,0.12051,2.03565,2.4361,1.9161,0.001901,0.001901,0.001901
7,456.954,2.03624,2.54133,1.90691,0.48732,0.36,0.38188,0.16017,2.05999,2.27445,1.99327,0.0018812,0.0018812,0.0018812
8,517.222,1.99036,2.43053,1.84627,0.40346,0.3232,0.29719,0.12398,2.03409,2.36586,1.92593,0.0018614,0.0018614,0.0018614
9,577.526,1.94184,2.40061,1.8188,0.57138,0.344,0.41543,0.1769,1.93953,2.62165,1.88973,0.0018416,0.0018416,0.0018416
10,637.285,1.93401,2.31015,1.82237,0.56982,0.3872,0.43577,0.18266,1.97133,2.02997,1.911,0.0018218,0.0018218,0.0018218
11,698.849,1.92385,2.26724,1.80514,0.59414,0.376,0.43471,0.1969,1.89992,2.00605,1.84815,0.001802,0.001802,0.001802
12,765.554,1.8988,2.19758,1.78847,0.49036,0.44338,0.44678,0.19036,1.8802,2.17417,1.86506,0.0017822,0.0017822,0.0017822
13,831.994,1.85568,2.14746,1.74937,0.53914,0.4448,0.48305,0.2159,1.88559,1.98126,1.81037,0.0017624,0.0017624,0.0017624
14,895.959,1.85818,2.12075,1.75833,0.6323,0.4768,0.53493,0.22346,1.92781,1.85484,1.85778,0.0017426,0.0017426,0.0017426
15,959.286,1.84379,2.0523,1.75289,0.62308,0.46287,0.52006,0.23046,1.89253,1.96059,1.88042,0.0017228,0.0017228,0.0017228
16,1021.9,1.84824,2.0438,1.73129,0.59741,0.54846,0.57581,0.25285,1.82738,1.71412,1.76097,0.001703,0.001703,0.001703
17,1084.54,1.80217,1.95801,1.72536,0.63161,0.53492,0.58329,0.26937,1.80387,1.68623,1.74704,0.0016832,0.0016832,0.0016832
18,1145.75,1.78161,1.90038,1.69672,0.67211,0.5152,0.57614,0.27144,1.84122,1.68091,1.76517,0.0016634,0.0016634,0.0016634
19,1207.14,1.79824,1.92584,1.68721,0.66247,0.4992,0.56962,0.25845,1.86318,1.69209,1.75295,0.0016436,0.0016436,0.0016436
20,1268.14,1.78389,1.91503,1.70036,0.67041,0.536,0.59045,0.27848,1.82142,1.63629,1.76477,0.0016238,0.0016238,0.0016238
21,1329.06,1.76682,1.8241,1.67411,0.71595,0.52,0.60951,0.30038,1.79469,1.61049,1.72645,0.001604,0.001604,0.001604
22,1390.5,1.77281,1.83519,1.68179,0.67525,0.57887,0.62511,0.29863,1.80523,1.64957,1.76779,0.0015842,0.0015842,0.0015842
23,1451.71,1.744,1.79701,1.66679,0.76338,0.49039,0.61059,0.28251,1.84587,1.5639,1.77974,0.0015644,0.0015644,0.0015644
24,1513.32,1.73638,1.76585,1.66205,0.73624,0.5792,0.65284,0.31626,1.8089,1.53482,1.73664,0.0015446,0.0015446,0.0015446
25,1574.37,1.72194,1.73994,1.65475,0.68433,0.5584,0.61477,0.29406,1.84946,1.59143,1.78278,0.0015248,0.0015248,0.0015248
26,1635.9,1.71821,1.70685,1.63832,0.68097,0.6048,0.64693,0.31374,1.80572,1.47698,1.75517,0.001505,0.001505,0.001505
27,1698.13,1.70931,1.66925,1.63428,0.76708,0.624,0.70019,0.33628,1.79156,1.41637,1.7249,0.0014852,0.0014852,0.0014852
28,1760.07,1.70268,1.66184,1.62955,0.73276,0.5952,0.65801,0.31839,1.75287,1.45867,1.70035,0.0014654,0.0014654,0.0014654
29,1821.46,1.68663,1.67874,1.6241,0.68453,0.6272,0.67417,0.32803,1.76722,1.45578,1.71674,0.0014456,0.0014456,0.0014456
30,1882.82,1.69455,1.66093,1.61045,0.76959,0.63594,0.70112,0.32183,1.84786,1.41015,1.73757,0.0014258,0.0014258,0.0014258
31,1944.11,1.6978,1.63713,1.61046,0.77627,0.59957,0.70313,0.34478,1.75665,1.39907,1.70321,0.001406,0.001406,0.001406
32,2005.19,1.68273,1.60724,1.59606,0.70651,0.61241,0.69843,0.3462,1.75063,1.35029,1.66689,0.0013862,0.0013862,0.0013862
33,2066.27,1.63854,1.55083,1.58666,0.74386,0.6448,0.71464,0.34504,1.77733,1.36572,1.7104,0.0013664,0.0013664,0.0013664
34,2127.72,1.63681,1.53362,1.57053,0.82276,0.63134,0.72872,0.35735,1.73792,1.29565,1.67379,0.0013466,0.0013466,0.0013466
35,2189.36,1.64532,1.51305,1.57474,0.78037,0.6448,0.72446,0.36444,1.7456,1.34444,1.6609,0.0013268,0.0013268,0.0013268
36,2250.56,1.61827,1.51189,1.5597,0.78899,0.6544,0.73991,0.35363,1.78285,1.27339,1.67215,0.001307,0.001307,0.001307
37,2311.94,1.62424,1.51585,1.55047,0.78879,0.6464,0.73587,0.37478,1.72496,1.27976,1.65917,0.0012872,0.0012872,0.0012872
38,2376.29,1.62068,1.46612,1.54822,0.76596,0.68075,0.74183,0.37247,1.73719,1.25512,1.64649,0.0012674,0.0012674,0.0012674
39,2437.2,1.60539,1.49388,1.55101,0.79677,0.67119,0.74819,0.38027,1.7078,1.24589,1.65231,0.0012476,0.0012476,0.0012476
40,2498.39,1.60125,1.43252,1.52807,0.75797,0.6752,0.74698,0.38565,1.71116,1.2287,1.63263,0.0012278,0.0012278,0.0012278
41,2559.14,1.60315,1.45548,1.53539,0.79699,0.67211,0.75237,0.38636,1.72471,1.19687,1.65429,0.001208,0.001208,0.001208
42,2620.54,1.59785,1.41909,1.53495,0.83688,0.632,0.74501,0.37351,1.72417,1.21642,1.63496,0.0011882,0.0011882,0.0011882
43,2681.55,1.56991,1.41996,1.51579,0.82551,0.688,0.77044,0.39881,1.672,1.1986,1.59576,0.0011684,0.0011684,0.0011684
44,2742.37,1.56241,1.37453,1.50925,0.82216,0.688,0.77961,0.39858,1.70354,1.17595,1.62434,0.0011486,0.0011486,0.0011486
45,2803.52,1.55557,1.37921,1.52083,0.80714,0.67633,0.75452,0.39491,1.66507,1.18919,1.60908,0.0011288,0.0011288,0.0011288
46,2864.61,1.56112,1.38283,1.50557,0.81215,0.6784,0.77843,0.40405,1.6897,1.14976,1.6172,0.001109,0.001109,0.001109
47,2925.5,1.52776,1.30365,1.48446,0.8259,0.70588,0.78701,0.40424,1.70521,1.13516,1.61847,0.0010892,0.0010892,0.0010892
