epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,2785.54,1.63923,1.55038,1.57573,0.78649,0.6144,0.72076,0.36147,1.69446,1.29939,1.62866,0.0011882,0.0011882,0.0011882
43,2852.81,1.61793,1.55342,1.56604,0.80709,0.6368,0.72663,0.36471,1.69892,1.32713,1.64903,0.0011684,0.0011684,0.0011684
44,2919.52,1.63007,1.54374,1.57618,0.78307,0.6496,0.72158,0.36938,1.70983,1.29021,1.64023,0.0011486,0.0011486,0.0011486
45,2986.59,1.61185,1.53236,1.57008,0.77151,0.6483,0.72727,0.37037,1.67377,1.308,1.64078,0.0011288,0.0011288,0.0011288
46,3054.77,1.62508,1.52351,1.56359,0.80763,0.6576,0.73757,0.38095,1.67729,1.2765,1.64134,0.001109,0.001109,0.001109
47,3121.47,1.58859,1.45912,1.53624,0.84538,0.64,0.74456,0.38267,1.6894,1.25653,1.63342,0.0010892,0.0010892,0.0010892
48,3188.09,1.5999,1.47692,1.54585,0.81866,0.67177,0.76026,0.39045,1.67349,1.22259,1.62491,0.0010694,0.0010694,0.0010694
49,3255.05,1.59084,1.46153,1.54528,0.80866,0.66945,0.75216,0.3872,1.67267,1.24343,1.64534,0.0010496,0.0010496,0.0010496
50,3322.24,1.57882,1.42146,1.52401,0.80098,0.6864,0.76192,0.39107,1.67664,1.1854,1.60625,0.0010298,0.0010298,0.0010298
51,3389.18,1.58021,1.4276,1.53587,0.82497,0.6736,0.75196,0.38053,1.69644,1.24634,1.63271,0.00101,0.00101,0.00101
52,3456.08,1.56816,1.38232,1.51745,0.82435,0.6656,0.7624,0.38471,1.69894,1.21095,1.61705,0.0009902,0.0009902,0.0009902
53,3522.67,1.56438,1.39581,1.51657,0.8161,0.656,0.75624,0.38678,1.6911,1.20832,1.63433,0.0009704,0.0009704,0.0009704
54,3589.09,1.54198,1.3473,1.49128,0.80362,0.6944,0.78364,0.41096,1.67168,1.17551,1.60211,0.0009506,0.0009506,0.0009506
55,3656.24,1.5574,1.36278,1.5086,0.83461,0.6912,0.77744,0.4013,1.64996,1.15487,1.61003,0.0009308,0.0009308,0.0009308
56,3723.56,1.53263,1.37347,1.48954,0.83623,0.7088,0.7937,0.41311,1.67777,1.12831,1.60978,0.000911,0.000911,0.000911
57,3791.23,1.53781,1.3794,1.49432,0.84241,0.68422,0.77562,0.40969,1.66588,1.15027,1.61067,0.0008912,0.0008912,0.0008912
58,3858.21,1.52526,1.33488,1.47852,0.88631,0.67354,0.78731,0.40222,1.67953,1.16521,1.60928,0.0008714,0.0008714,0.0008714
59,3925.47,1.53092,1.32061,1.48189,0.85196,0.67218,0.78378,0.40612,1.67149,1.10863,1.59592,0.0008516,0.0008516,0.0008516
60,3992.24,1.51986,1.29985,1.47304,0.85231,0.6752,0.78662,0.4069,1.67615,1.13429,1.59461,0.0008318,0.0008318,0.0008318
61,4058.63,1.5033,1.2988,1.47845,0.82798,0.70081,0.78481,0.41912,1.63749,1.11991,1.58642,0.000812,0.000812,0.000812
62,4125.8,1.4988,1.29593,1.45446,0.86219,0.6864,0.78381,0.41811,1.64939,1.11464,1.58778,0.0007922,0.0007922,0.0007922
63,4192.54,1.48476,1.29413,1.45685,0.85027,0.70872,0.79914,0.42186,1.67763,1.09,1.60147,0.0007724,0.0007724,0.0007724
