epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
43,5182.28,1.43786,1.17882,1.44009,0.89306,0.7919,0.88082,0.53859,1.39635,0.85556,1.38804,0.008614,0.008614,0.008614
44,5301.04,1.43712,1.19592,1.44937,0.90711,0.79196,0.88821,0.54857,1.3786,0.85308,1.38911,0.008581,0.008581,0.008581
45,5419.03,1.41415,1.17898,1.43594,0.89413,0.79029,0.88158,0.54413,1.37375,0.84406,1.39062,0.008548,0.008548,0.008548
46,5537.47,1.41354,1.16524,1.42775,0.92117,0.801,0.89296,0.55831,1.36004,0.81525,1.37726,0.008515,0.008515,0.008515
47,5655.49,1.41846,1.15198,1.42495,0.90532,0.80528,0.89182,0.55839,1.36331,0.80852,1.38059,0.008482,0.008482,0.008482
48,5774.39,1.41649,1.15351,1.4247,0.90695,0.81475,0.89659,0.56084,1.35421,0.80583,1.37192,0.008449,0.008449,0.008449
49,5891.9,1.40449,1.13181,1.4121,0.90577,0.82147,0.89928,0.56563,1.3454,0.78918,1.35605,0.008416,0.008416,0.008416
50,6010.2,1.3959,1.13184,1.4083,0.92831,0.82533,0.90518,0.56903,1.3476,0.77163,1.36222,0.008383,0.008383,0.008383
51,6128.95,1.40427,1.13892,1.41746,0.90116,0.83037,0.90663,0.57315,1.33125,0.77545,1.34836,0.00835,0.00835,0.00835
52,6248.86,1.39165,1.12775,1.40458,0.91364,0.82495,0.90508,0.57218,1.33625,0.77533,1.35628,0.008317,0.008317,0.008317
53,6367.89,1.38306,1.10641,1.40083,0.90101,0.83094,0.8995,0.5684,1.34251,0.77846,1.35104,0.008284,0.008284,0.008284
54,6486.1,1.37623,1.1157,1.40063,0.92373,0.82595,0.90901,0.57668,1.32057,0.76616,1.34575,0.008251,0.008251,0.008251
55,6603.5,1.37976,1.09814,1.40299,0.91508,0.82408,0.90387,0.57845,1.32929,0.75684,1.34707,0.008218,0.008218,0.008218
56,6722.38,1.38268,1.10879,1.3964,0.93179,0.83219,0.91084,0.57814,1.32172,0.73926,1.34317,0.008185,0.008185,0.008185
