epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
43,490.653,1.69217,1.15355,1.10915,0.82722,0.65289,0.75124,0.30538,1.77263,1.17983,1.16375,0.0011684,0.0011684,0.0011684
44,501.789,1.6871,1.1024,1.12007,0.8398,0.69421,0.74038,0.33347,1.72611,1.37101,1.13544,0.0011486,0.0011486,0.0011486
45,512.992,1.68633,1.12708,1.11978,0.7424,0.73839,0.76653,0.3389,1.47505,1.20524,1.01502,0.0011288,0.0011288,0.0011288
46,524.135,1.63795,1.12098,1.10002,0.80776,0.76398,0.80387,0.33407,1.73079,1.23555,1.10872,0.001109,0.001109,0.001109
47,535.32,1.65513,1.11507,1.11227,0.72641,0.66116,0.68728,0.27973,1.72093,1.36958,1.11564,0.0010892,0.0010892,0.0010892
48,546.621,1.64272,1.11999,1.10769,0.76638,0.75207,0.75707,0.31829,1.6314,1.43826,1.07884,0.0010694,0.0010694,0.0010694
49,557.588,1.64039,1.11483,1.10117,0.70842,0.72727,0.75562,0.31434,1.66517,1.23637,1.08793,0.0010496,0.0010496,0.0010496
50,568.713,1.62931,1.11739,1.09396,0.85031,0.71901,0.79515,0.33678,1.64213,1.15661,1.10704,0.0010298,0.0010298,0.0010298
51,579.817,1.60663,1.03573,1.09912,0.81801,0.78512,0.81518,0.36571,1.53359,1.15348,1.00293,0.00101,0.00101,0.00101
52,590.847,1.58984,1.02673,1.08225,0.82506,0.77686,0.82467,0.34341,1.69767,1.11843,1.11977,0.0009902,0.0009902,0.0009902
53,601.928,1.57408,0.96669,1.08648,0.85405,0.77382,0.76299,0.32064,1.68795,1.0904,1.11577,0.0009704,0.0009704,0.0009704
54,612.981,1.60315,1.03267,1.08509,0.83243,0.75207,0.79385,0.35778,1.62933,1.14223,1.07938,0.0009506,0.0009506,0.0009506
55,624.141,1.60556,1.04652,1.07621,0.88377,0.81693,0.82984,0.34422,1.60655,1.12283,1.10521,0.0009308,0.0009308,0.0009308
56,635.374,1.5217,0.97038,1.05809,0.86287,0.78006,0.8506,0.38155,1.64888,1.00977,1.10896,0.000911,0.000911,0.000911
57,646.377,1.57451,0.9845,1.06315,0.80579,0.75439,0.78908,0.32557,1.72369,1.17138,1.0848,0.0008912,0.0008912,0.0008912
58,657.365,1.60552,0.99728,1.06983,0.82122,0.72132,0.77599,0.35608,1.70573,1.01055,1.11262,0.0008714,0.0008714,0.0008714
59,668.44,1.61126,1.01876,1.07652,0.81164,0.73554,0.78727,0.34894,1.74567,1.11764,1.11174,0.0008516,0.0008516,0.0008516
60,679.497,1.54373,0.95893,1.07223,0.88642,0.77399,0.82692,0.38152,1.71408,0.97791,1.13557,0.0008318,0.0008318,0.0008318
61,690.609,1.51829,0.92648,1.05413,0.89846,0.78512,0.84911,0.38651,1.66894,1.04251,1.09628,0.000812,0.000812,0.000812
62,701.734,1.56727,0.94844,1.05786,0.86472,0.80165,0.81986,0.38483,1.58889,1.01396,1.06148,0.0007922,0.0007922,0.0007922
63,712.822,1.47911,0.92829,1.02819,0.87063,0.76033,0.84256,0.37895,1.65518,0.95075,1.11974,0.0007724,0.0007724,0.0007724
64,724.037,1.49846,0.89334,1.04821,0.91025,0.7686,0.84292,0.37068,1.75945,0.93668,1.18106,0.0007526,0.0007526,0.0007526
65,735.164,1.50027,0.91365,1.04779,0.85823,0.70044,0.78546,0.36202,1.67717,1.14569,1.09941,0.0007328,0.0007328,0.0007328
66,746.372,1.4774,0.9313,1.03879,0.84876,0.75207,0.80203,0.35417,1.67226,1.12243,1.09527,0.000713,0.000713,0.000713
67,757.473,1.50354,0.93095,1.10092,0.84913,0.74423,0.80648,0.38502,1.61408,1.16793,1.07217,0.0006932,0.0006932,0.0006932
68,768.519,1.47993,0.93356,1.03393,0.83731,0.76566,0.80782,0.38574,1.65546,1.12484,1.09185,0.0006734,0.0006734,0.0006734
69,779.57,1.42547,0.88909,1.01788,0.85524,0.81818,0.85538,0.39803,1.62947,0.99624,1.09251,0.0006536,0.0006536,0.0006536
70,790.666,1.43008,0.82351,1.04958,0.89162,0.80165,0.86907,0.4014,1.65251,0.86669,1.12613,0.0006338,0.0006338,0.0006338
71,801.781,1.41382,0.845,1.02847,0.85553,0.84298,0.86635,0.41307,1.60968,0.87449,1.104,0.000614,0.000614,0.000614
72,812.905,1.41031,0.82465,1.01963,0.90738,0.83471,0.90075,0.43658,1.59582,0.92601,1.07298,0.0005942,0.0005942,0.0005942
73,823.94,1.43163,0.8843,1.02592,0.93276,0.8595,0.89923,0.42319,1.58485,0.97303,1.10186,0.0005744,0.0005744,0.0005744
74,835.04,1.39776,0.81787,0.99482,0.92114,0.80165,0.87911,0.42851,1.59504,0.97123,1.06864,0.0005546,0.0005546,0.0005546
75,846.053,1.42718,0.82606,1.02272,0.88924,0.86262,0.87853,0.40885,1.67479,0.91113,1.18301,0.0005348,0.0005348,0.0005348
76,857.2,1.35752,0.7704,1.01307,0.92656,0.83417,0.88472,0.42997,1.68462,0.93496,1.19535,0.000515,0.000515,0.000515
77,868.431,1.36906,0.76198,1.01422,0.87328,0.83471,0.85709,0.43468,1.68264,1.01247,1.12861,0.0004952,0.0004952,0.0004952
78,879.439,1.39438,0.79222,1.00892,0.90861,0.82164,0.86473,0.44682,1.4428,1.04148,0.97644,0.0004754,0.0004754,0.0004754
79,890.53,1.37343,0.81321,1.01316,0.90253,0.8595,0.87896,0.44203,1.59494,0.93933,1.09241,0.0004556,0.0004556,0.0004556
80,902.15,1.38162,0.78212,1.0293,0.91881,0.86777,0.90115,0.44025,1.63923,0.79325,1.14577,0.0004358,0.0004358,0.0004358
